Week Ending,  SPY Buy & Hold,                     Strategy,,Strategy Metrics,,,SPY Metrics,
                  01/08/2025,"£10,000.00","£10,000",,Initial Capital:,"£10,000",,Initial Capital,"£10,000"
08/08/2025,"£10,019.81","£10,208",,Final Portfolio Value:,"£14,200.76",,Final Portfolio Value,"£11,877.40"
15/08/2025,"£10,118.25","£10,556",,Net Profit:,"£4,200.76",,Net Profit,"£1,877.40"
22/08/2025,"£10,147.66","£10,705",,Total Return:,42.01%,,Total Return,18.77%
29/08/2025,"£10,143.57","£10,705",,CAGR:,42.01%,,CAGR,18.77%
05/09/2025,"£10,178.01","£10,705",,,,,,
12/09/2025,"£10,337.93","£10,713",,Total Trades:,79,,Total Trades,N/A
19/09/2025,"£10,465.78","£10,852",,Win Rate:,68.35%,,Win Rate,N/A
26/09/2025,"£10,436.14","£10,852",,Average winning trade: ,6.23%,,Average winning trade,N/A
03/10/2025,"£10,552.67","£10,984",,Average losing trade: ,-5.92%,,Average losing trade,N/A
10/10/2025,"£10,297.37","£11,141",,Largest Winner:,12.87%,,Largest Winner,N/A
17/10/2025,"£10,476.66","£11,141",,Largest Loser:,-9.82%,,Largest Loser,N/A
24/10/2025,"£10,679.45","£11,353",,Median Trade Return: ,4.50%,,Median Trade Return,N/A
31/10/2025,"£10,755.30","£11,191",,Average Holding Period:,11.43 Trading Days,,Average Holding Period,N/A
07/11/2025,"£10,580.42","£11,352",,Profit Factor:,2.27,,Profit Factor,N/A
14/11/2025,"£10,595.56","£11,081",,Expectancy:,2.39%,,Expectancy,N/A
21/11/2025,"£10,392.14","£11,206",,,,,,
28/11/2025,"£10,776.27","£11,286",,Maximum Drawdown:,-17.15%,,Maximum Drawdown,-6.70%
05/12/2025,"£10,812.54","£11,171",,Recovery  Factor:,3.81,,Recovery Factor,2.8
12/12/2025,"£10,750.57","£11,162",,Calmar Ratio:,4.61,,Calmar Ratio,2.8
19/12/2025,"£10,763.83","£11,610",,Per-Trade Sharpe Ratio:,0.4,,Per-Trade Sharpe Ratio,N/A
26/12/2025,"£10,917.56","£11,314",,Annualised Sharpe Ratio:,1.9,,Annualised Sharpe Ratio,1.2
02/01/2026,"£10,804.63","£11,464",,Sortino Ratio:,2.67,,Sortino Ratio,1.8
09/01/2026,"£10,977.02","£11,540",,Annualised Volatility:,28.10%,,Annualised Volatility,15.50%
16/01/2026,"£10,938.91","£11,475",,,,,,
23/01/2026,"£10,900.48","£11,211",,,,,,
30/01/2026,"£10,943.81","£11,248",,,,,,
06/02/2026,"£10,922.46","£11,954",,,,,,
13/02/2026,"£10,782.18","£12,086",,,,,,
20/02/2026,"£10,903.64","£12,086",,,,,,
27/02/2026,"£10,849.23","£11,947",,,,,,
06/03/2026,"£10,633.99","£12,393",,,,,,
13/03/2026,"£10,474.41","£12,122",,,,,,
20/03/2026,"£10,285.43","£11,954",,,,,,
27/03/2026,"£10,055.80","£11,954",,,,,,
03/04/2026,"£10,400.57","£12,554",,,,,,
10/04/2026,"£10,775.31","£12,670",,,,,,
17/04/2026,"£11,261.85","£12,753",,,,,,
24/04/2026,"£11,322.11","£12,894",,,,,,
01/05/2026,"£11,428.52","£13,030",,,,,,
08/05/2026,"£11,697.65","£13,329",,,,,,
15/05/2026,"£11,722.23","£13,286",,,,,,
22/05/2026,"£11,824.83","£13,428",,,,,,
29/05/2026,"£11,996.74","£13,543",,,,,,
05/06/2026,"£11,696.54","£13,690",,,,,,
12/06/2026,"£11,763.14","£13,715",,,,,,
19/06/2026,"£11,872.78","£13,800",,,,,,
26/06/2026,"£11,590.57","£13,800",,,,,,
03/07/2026,"£11,841.62","£13,916",,,,,,
10/07/2026,"£12,003.32","£14,055",,,,,,
17/07/2026,"£11,817.93","£14,055",,,,,,
24/07/2026,"£11,748.61","£14,055",,,,,,
31/07/2026,"£11,877.40","£14,201",,,,,,
